Runtime ,Roll (deg),Pitch (deg),G-Force (g),Magnetometer X-Axis (gauss),Magnetometer Y-Axis (gauss),Magnetometer Z-Axis (gauss),Gyroscope X-Axis (deg/s),Gyroscope Y-Axis (deg/s),Gyroscope Z-Axis (deg/s),Accelerometer X-Axis (g),Accelerometer Y-Axis (g),Accelerometer Z-Axis (g)
2805,-3.56,-25.13,2.14,0.02,-0.22,-0.32,7.12,-8.27,201.56,-0.91,-0.13,1.94,
2885,-2.87,-86.25,1.27,0.02,-0.28,-0.24,-286.72,-0.33,9.67,-1.27,-0.06,0.05,
2965,5.53,-78.35,0.93,0.02,-0.30,-0.18,-61.64,3.54,0.53,-0.91,0.09,-0.17,
3045,-1.95,-86.74,1.17,0.01,-0.29,-0.23,286.68,-13.47,-5.13,-1.17,-0.04,-0.05,
3128,-5.01,-78.26,1.03,0.02,-0.23,-0.30,244.44,2.72,-3.05,-1.01,-0.09,0.19,
3208,-5.04,-77.90,1.02,0.01,-0.23,-0.29,-238.76,-7.23,5.50,-0.99,-0.09,0.19,
3288,-1.02,-87.21,1.19,0.01,-0.29,-0.22,-286.72,7.82,-3.40,-1.19,-0.02,-0.05,
3368,4.30,-78.00,0.94,0.01,-0.31,-0.18,39.50,-5.75,-0.11,-0.92,0.07,-0.18,
3448,-3.75,-86.17,1.24,0.01,-0.28,-0.24,286.68,-5.84,3.38,-1.23,-0.08,0.02,
3529,-4.89,-77.76,0.98,0.01,-0.22,-0.30,157.60,7.80,-2.20,-0.96,-0.08,0.19,
3611,-5.96,-79.76,1.10,0.01,-0.24,-0.30,-286.72,-12.91,1.78,-1.08,-0.11,0.16,
3691,-0.70,-85.79,1.09,0.01,-0.30,-0.20,-286.72,0.00,1.95,-1.09,-0.01,-0.08,
3771,3.58,-81.22,0.96,0.01,-0.30,-0.18,142.76,-3.56,0.39,-0.95,0.06,-0.13,
3851,-4.55,-82.78,1.24,0.02,-0.27,-0.26,286.68,5.06,-6.21,-1.23,-0.10,0.12,
3932,-6.88,-75.17,0.94,0.02,-0.23,-0.31,44.50,-1.37,-1.25,-0.91,-0.11,0.21,
4012,-4.75,-80.28,1.18,0.01,-0.26,-0.27,-286.72,-9.52,10.81,-1.16,-0.10,0.17,
4092,3.06,-83.06,1.02,0.01,-0.30,-0.19,-222.29,9.04,3.55,-1.01,0.05,-0.11,
4175,2.48,-83.31,1.03,0.01,-0.30,-0.20,243.75,-12.04,-3.85,-1.02,0.04,-0.11,
4255,-5.31,-79.56,1.17,0.01,-0.25,-0.27,286.68,-0.84,-3.21,-1.15,-0.11,0.18,
4335,-5.00,-75.92,0.96,0.01,-0.22,-0.30,-70.39,-3.30,3.25,-0.93,-0.08,0.22,
4415,-2.39,-85.78,1.23,0.01,-0.27,-0.24,-286.72,0.48,-1.11,-1.23,-0.05,0.07,
4495,3.42,-80.49,0.96,0.01,-0.30,-0.19,-111.76,0.88,-1.27,-0.94,0.06,-0.15,
4575,-0.49,-86.96,1.11,0.01,-0.29,-0.22,286.68,-9.48,2.67,-1.10,-0.01,-0.06,
4658,-4.19,-79.82,1.07,0.01,-0.24,-0.29,266.53,9.29,-1.53,-1.05,-0.08,0.17,
4738,-6.09,-77.62,1.00,0.01,-0.23,-0.29,-178.61,-8.49,1.66,-0.98,-0.11,0.19,
4818,-2.33,-87.52,1.20,0.01,-0.28,-0.23,-286.72,-2.93,2.34,-1.20,-0.05,0.02,
4898,4.17,-81.73,0.93,0.01,-0.30,-0.18,4.72,-0.02,1.92,-0.92,0.07,-0.12,
4978,-2.42,-87.30,1.19,0.01,-0.28,-0.23,286.68,-1.58,-5.01,-1.19,-0.05,0.03,
5059,-5.49,-76.41,1.01,0.01,-0.23,-0.30,163.27,3.18,-4.83,-0.98,-0.10,0.22,
5139,-5.09,-77.27,1.08,0.01,-0.25,-0.28,-266.35,-10.19,9.47,-1.05,-0.10,0.22,
5221,1.31,-87.29,1.10,0.01,-0.29,-0.21,-285.81,8.18,4.60,-1.10,0.03,-0.05,
5301,4.59,-81.22,0.98,0.01,-0.30,-0.19,125.24,-7.24,-2.53,-0.97,0.08,-0.13,
5382,-3.56,-83.12,1.21,0.01,-0.27,-0.26,286.68,-5.36,-2.65,-1.20,-0.08,0.12,
5462,-4.36,-76.14,0.97,0.01,-0.22,-0.30,40.99,-0.24,0.79,-0.94,-0.07,0.22,
5542,-3.05,-82.76,1.16,0.02,-0.26,-0.26,-286.72,-3.86,0.18,-1.15,-0.06,0.13,
5622,1.60,-84.17,1.04,0.02,-0.30,-0.20,-198.16,3.17,-2.27,-1.03,0.03,-0.10,
5702,1.04,-85.27,1.03,0.02,-0.30,-0.20,215.82,-8.49,1.72,-1.03,0.02,-0.08,
5785,-4.57,-80.45,1.15,0.02,-0.25,-0.27,286.68,7.93,-0.54,-1.13,-0.09,0.17,
5865,-5.80,-77.37,0.97,0.02,-0.23,-0.30,-79.93,-4.41,0.17,-0.95,-0.10,0.19,
5945,-3.19,-84.49,1.20,0.01,-0.28,-0.24,-286.72,-7.12,3.37,-1.19,-0.07,0.09,
6025,3.34,-83.59,0.97,0.01,-0.30,-0.18,-79.53,2.25,3.05,-0.96,0.06,-0.09,
6105,-0.53,-89.29,1.12,0.01,-0.29,-0.22,286.68,-3.88,-3.83,-1.12,-0.01,-0.01,
